chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
1990-03-03,7,Leave It Alone,The Forester Sisters,12,7,Gains In Performance
1990-03-03,8,Seein' My Father In Me,Paul Overstreet,14,7,Gains In Performance
1990-03-03,9,Sooner Or Later,Eddy Raven,16,7,Gains In Performance
1990-03-03,10,Statue Of A Fool,Ricky Van Shelton,6,7,
1990-03-03,11,Little Girl,Reba McEntire,17,7,Gains In Performance
1990-03-03,12,Overnight Success,George Strait,9,7,
1990-03-03,13,Not Counting You,Garth Brooks,19,7,Gains In Performance
1990-03-03,14,Nobody's Home,Clint Black,8,7,
1990-03-03,15,Heartbreak Hurricane,Ricky Skaggs,15,7,Gains In Performance
1990-03-03,16,Where've You Been,Kathy Mattea,11,7,
1990-03-03,17,Keep It In The Middle Of The Road,Exile,18,7,
1990-03-03,18,Five Minutes,Lorrie Morgan,21,5,Gains In Performance
1990-03-03,19,I Can't Turn The Tide,Baillie and the Boys,13,7,
1990-03-03,20,Start All Over Again,The Desert Rose Band,10,7,
1990-03-03,21,Here In The Real World,Alan Jackson,27,7,Gains In Performance
1990-03-03,22,Quittin' Time,Mary Chapin Carpenter,25,7,Gains In Performance
1990-03-03,23,Tell Me Why,Jann Browne,23,7,Gains In Performance
1990-03-03,24,My Arms Stay Open All Night,Tanya Tucker,20,7,
